ID,C_F_DATA,FILTERING_OLD,DEDU_FUNCTION_DATA_DISABLED,time,DEDU_FUNCTION_DATA_,FILTERING_GENERATIONS,C_F_DATA_DISABLED,FILTERING_ATOMIC
0,1.0,1.0,0.0,3.3189985752105713,0.0,0.0,0.0,0.0
1,1.0,1.0,0.0,3.3983407020568848,0.0,0.0,0.0,0.0
2,1.0,1.0,0.0,3.6634485721588135,0.0,0.0,0.0,0.0
3,1.0,1.0,0.0,0.1883533000946045,1.0,0.0,0.0,0.0
4,1.0,1.0,0.0,0.18464875221252441,1.0,0.0,0.0,0.0
5,1.0,1.0,0.0,0.18761825561523438,1.0,0.0,0.0,0.0
6,1.0,0.0,0.0,3.3582241535186768,0.0,1.0,0.0,0.0
7,1.0,0.0,0.0,3.5410873889923096,0.0,1.0,0.0,0.0
8,1.0,0.0,0.0,3.2818210124969482,0.0,1.0,0.0,0.0
9,0.0,0.0,0.0,3.2946178913116455,0.0,1.0,0.0,0.0
10,0.0,0.0,0.0,3.324354887008667,0.0,1.0,0.0,0.0
11,0.0,0.0,0.0,3.222672700881958,0.0,1.0,0.0,0.0
12,0.0,1.0,0.0,0.18870186805725098,1.0,0.0,0.0,0.0
13,0.0,1.0,0.0,0.18938517570495605,1.0,0.0,0.0,0.0
14,0.0,1.0,0.0,0.18213248252868652,1.0,0.0,0.0,0.0
15,1.0,1.0,0.0,0.18679070472717285,1.0,0.0,0.0,0.0
16,1.0,1.0,0.0,0.1890859603881836,1.0,0.0,0.0,0.0
17,1.0,1.0,0.0,0.18761181831359863,1.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.19223475456237793,1.0,1.0,0.0,0.0
19,0.0,0.0,0.0,0.188368558883667,1.0,1.0,0.0,0.0
20,0.0,0.0,0.0,0.18879175186157227,1.0,1.0,0.0,0.0
21,0.0,0.0,0.0,3.247365951538086,0.0,1.0,0.0,0.0
22,0.0,0.0,0.0,3.277623414993286,0.0,1.0,0.0,0.0
23,0.0,0.0,0.0,3.497971773147583,0.0,1.0,0.0,0.0
24,1.0,0.0,0.0,3.3080835342407227,0.0,1.0,0.0,0.0
25,1.0,0.0,0.0,3.313131332397461,0.0,1.0,0.0,0.0
26,1.0,0.0,0.0,3.2641043663024902,0.0,1.0,0.0,0.0
27,0.0,0.0,0.0,0.18680119514465332,1.0,1.0,0.0,0.0
28,0.0,0.0,0.0,0.19343781471252441,1.0,1.0,0.0,0.0
29,0.0,0.0,0.0,0.19069647789001465,1.0,1.0,0.0,0.0
30,1.0,0.0,0.0,0.19783806800842285,1.0,0.0,0.0,1.0
31,1.0,0.0,0.0,0.1856822967529297,1.0,0.0,0.0,1.0
32,1.0,0.0,0.0,0.19042158126831055,1.0,0.0,0.0,1.0
33,1.0,0.0,0.0,3.3858232498168945,0.0,0.0,0.0,1.0
34,1.0,0.0,0.0,3.382603883743286,0.0,0.0,0.0,1.0
35,1.0,0.0,0.0,3.3732142448425293,0.0,0.0,0.0,1.0
36,0.0,1.0,0.0,3.4012928009033203,0.0,0.0,0.0,0.0
37,0.0,1.0,0.0,3.268117904663086,0.0,0.0,0.0,0.0
38,0.0,1.0,0.0,3.2794740200042725,0.0,0.0,0.0,0.0
39,1.0,0.0,0.0,3.27554988861084,0.0,0.0,0.0,1.0
40,1.0,0.0,0.0,3.272057294845581,0.0,0.0,0.0,1.0
41,1.0,0.0,0.0,3.4766030311584473,0.0,0.0,0.0,1.0
42,1.0,0.0,0.0,0.1899092197418213,1.0,0.0,0.0,1.0
43,1.0,0.0,0.0,0.20159268379211426,1.0,0.0,0.0,1.0
44,1.0,0.0,0.0,0.1903698444366455,1.0,0.0,0.0,1.0
